Género del usuario,Vistas (%),Duración promedio de vistas,Porcentaje promedio reproducido (%),Tiempo de reproducción (horas) (%)
Femenino,52.18,0:00:45,20.86,57.68
Masculino,47.82,0:00:36,21.02,42.32
