Fecha,Suscriptores,Vistas,Tiempo de reproducción (horas),Duración promedio de vistas
6/11/2024,0,7,0.0945,0:00:48
6/10/2024,2,6,0.0942,0:00:56
6/6/2024,0,12,0.1899,0:00:56
6/5/2024,0,1,0.0022,0:00:07
5/30/2024,0,3,0.0611,0:01:13
5/29/2024,0,2,0.0949,0:02:50
5/26/2024,0,1,0.014,0:00:50
5/24/2024,0,1,0.0032,0:00:11
5/23/2024,0,4,0.0558,0:00:50
5/22/2024,9,49,0.8496,0:01:02
4/8/2024,1,0,0,
